Absurdist fiction,fiction
Adventure,Adventure
Adventure novel,Adventure
Albino bias,Evil
Alien invasion,fiction
Alternate history,history
American Gothic Fiction,fiction
Anthology,
Anthropology,Anthropology
Anti-nuclear,war
Anti-war,war
Apocalyptic and post-apocalyptic fiction,fiction
Autobiographical comics,biography
Autobiographical novel,biography
Autobiography,biography
Bangsian fantasy,fantasy
Bildungsroman,biography
Biographical novel,biography
Biography,biography
Biopunk,fiction
Bit Lit,fantasy
Black comedy,comedy
Boys' school stories,children
Business,Business
Cabal,
Campus novel,children
Catastrophic literature,sorrow
Chick lit,fiction
Children's literature,children
Chivalric romance,romance
Collage,romance
Colonial United States romance,romance
Comedy,comedy
Comedy of manners,comedy
Comic book,comic
Comic fantasy,fantasy
Comic novel,comic
Comic science fiction,fiction
Comics,comic
Coming of age,fiction
Computer Science,educational
Conspiracy,mystery
Conspiracy fiction,"mystery, fiction"
Contemporary fantasy,fantasy
Cookbook,cookery 
Cozy,"mystery, erotica"
Creative nonfiction,nonfiction
Crime Fiction,"mystery, thriller"
Dark fantasy,fantasy
Detective fiction,"mystery, fiction"
Drama,fiction
Dying Earth subgenre,environmental
Dystopia,fiction
Economics,educational
Edisonade,fiction
Education,educational
Elizabethan romance,romance
Encyclopedia,educational
English public-school stories,children
Epic Science Fiction and Fantasy,"fiction, fantasy"
Epistolary novel,documentary
Ergodic literature,literature
Erotica,erotica
Essay,literature
Existentialism,philosophy
Experimental literature,literature
Fable,fiction
Fairy tale,fiction
Fairytale fantasy,"fiction, fantasy"
Fantastique,fantasy
Fantasy,fantasy
Fantasy of manners,fantasy
Farce,comedy
Feminist science fiction,fiction
Fiction,fiction
Fictional crossover,fiction
Field guide,educational
First-person narrative,biography
Foreign legion,war
Future history,fiction
Gamebook,action
Gay novel,erotica
Gay Themed,erotica
Georgian romance,romance
Ghost story,horror
Gothic fiction,fiction
Graphic novel,fiction
Hard science fiction,fiction
Hardboiled,"mystery, fiction"
Heroic fantasy,fantasy
High fantasy,fantasy
Historical fantasy,fantasy
Historical fiction,fiction
Historical novel,literature
Historical romance,romance
Historical whodunnit,mystery
History,literature
Horror,horror
Human extinction,nonfiction
Humour,comedy
Indian chick lit,fiction
Industrial novel,Business
Inspirational,educational
Invasion literature,literature
Juvenile fantasy,"fantasy, children"
Künstlerroman,
LGBT literature,educational
Light novel,children
Literary criticism,literature
Literary fiction,"fiction, literature"
Literary realism,literature
Literary theory,literature
Locked room mystery,mystery
Lost World,fiction
Low fantasy,fantasy
Magic realism,mystery
Marketing,Business
Mashup,
Mathematics,educational
Medieval romance,romance
Memoir,biography
Metaphysics,educational
Military history,war
Military science fiction,"war, fiction"
Modernism,philosophy
Morality play,literature
Music,music
Mystery,mystery
Nature,educational
Naval adventure,Adventure
Neuroscience,educational
New Weird,fiction
New York Times Best Seller list,
Non-fiction,nonfiction
Non-fiction novel,nonfiction
Novel,literature
Novella,literature
Parallel novel,literature
Paranormal romance,"horror, romance"
Parody,sorrow
Pastiche,biography
Personal journal,literature
Personal journal,philosophy
Photography,educational
Picaresque novel,fiction
Picture book,comic
Planetary romance,romance
Play,literature
Poetry,literature
Polemic,literature
Police procedural,educational
Political philosophy,"educational, philosophy"
Politics,educational
Popular culture,educational
Popular science,educational
Pornography,erotica
Post-holocaust,"fiction, nonfiction"
Postcyberpunk,fiction
Postmodernism,philosophy
Prose,literature
Prose poetry,literature
Psychological novel,literature
Psychology,educational
Reference,literature
Regency romance,romance
Religion,religious
Religious text,religious
Robinsonade,Adventure
Role-playing game,fiction
Roman à clef,nonfiction
Romance novel,romance
Romantic comedy,"romance, comedy"
Satire,Satire
School story,children
Science,educational
Science fantasy,fantasy
Science Fiction,fiction
Scientific romance,romance
Sea story,"fiction, adventure"
Self-help,educational
Serial,fiction
Short story,literature
Social commentary,fiction
Social criticism,literature
Social novel,literature
Social science fiction,fiction
Social sciences,educational
Sociology,educational
Soft science fiction,fiction
Space opera,"romance, fiction, adventure"
Space western,fiction
Speculative fiction,fiction
Spirituality,"religious, philosophy"
Sports,educational
Spy fiction,mystery
Steampunk,fiction
Subterranean fiction,fiction
Superhero fiction,fiction
Supernatural,fiction
Suspense,mystery
Sword and planet,fiction
Sword and sorcery,fiction
Techno-thriller,mystery
Thriller,mystery
Time travel,"fiction, mystery"
Tragicomedy,"sorrow, comedy"
Transgender and transsexual fiction,fiction
Transhumanism,philosophy
Travel,educational
Travel literature,literature
Treatise,educational
True crime,mystery
Urban fantasy,fantasy
Urban fiction,fiction
Utopian and dystopian fiction,"utopian, fiction"
Utopian fiction,"utopian, fiction"
Vampire fiction,"fiction, horror"
War novel,war
Western,literature
Western fiction,literature
Whodunit,mystery
Wuxia,fiction
Young adult literature,erotica
Youth,literature
Zombie,"mystery, fiction"
Zombies in popular culture,"mystery, fiction"
